,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01
guainia,19.855660511175287,20.351025180099057,6.647616867494163,5.979013785081654,20.255122401758108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.201263080440583,36.48510443127766,42.851777680977335,39.55471086407263,32.01641947946696,22.30571992476952,10.251696579741605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.849902867850712,16.835641613949523,15.067759509446054
guajira,218.6617393541609,219.07807982375715,129.1948447649272,149.49339266323724,184.35059367215393,217.95750114066215,148.88413270168098,98.23826392455761,76.52673403955896,85.49053238067789,30.28266198265912,5.346649795197308,93.61522166928911,185.01728437587988,131.04897704215722,200.98056751035904,204.29613373807268,142.8651140459496,50.3123164882672,33.49996754753885,84.04220883839633,113.3767843138423,119.76508100741448,101.97263248499465,190.47999103095765,188.68553340226347,53.04508582684444,24.804413893311114,54.15391836091631,100.1569589694892,67.0188654204745,85.00986615225064,124.68659998687602,187.80396940425382,173.67011021235135,228.97277368332016
guaviare,40.2866879202899,27.044133262083427,0.0,21.926845977394166,45.22459207281719,80.35833941735397,77.15528579893734,79.54328313179886,69.31650179364676,68.94758970852988,24.9514873276564,37.188859754569776,32.45829569540214,77.35914098786498,48.882567632716686,59.079094406024026,13.819445073569554,30.327658129504805,0.0,0.0,0.0,5.941562626168622,1.7224976993435988,0.0,0.0,0.0,0.0,0.0,0.0,22.80004621460636,22.39272059855742,13.57226600217402,25.530779005659173,2.582483316743758,1.6963871514471691,22.11432888354618
huila,1098.082419229746,922.6739668846885,782.7677221812621,1185.1447651205963,1358.1205921689066,1390.2249019787791,1237.4612502107059,1149.949794586584,779.9217000940953,439.2674668871998,0.0,250.62095242089995,510.8588821475713,789.5364375253969,662.2016638855484,876.1231101578211,891.4631961330999,922.2457789569312,517.738298123927,470.36950653171846,68.02294256864201,0.0,0.0,0.0,286.39704857572417,408.9963901262096,445.5318597971467,604.6596598471375,662.6198165174453,756.1785045307108,687.7432965627052,504.5202804941389,596.5159263347582,361.3050017580281,518.0540905541329,403.84713339420557
magdalena,192.88126960468009,271.4007764530144,225.01781266817295,163.38826366156064,183.3028103454619,128.26352675805953,113.61007130784915,23.988524811411978,69.31993292613711,125.4656728023943,86.17002133243476,192.08698597897637,268.0829413636644,358.49100600519483,312.73236414130304,365.2003528230734,380.5607762381459,274.5126810754035,263.00075407835016,228.00099434498082,272.94964758602504,282.08598449815787,314.4717568989065,283.46626073042773,205.89108879560987,139.78182581674167,69.33056081925815,59.774996585730435,115.19049358204637,81.63805806987821,66.45830478097002,59.91421802713164,55.843223446908944,132.70050695549514,141.43506891301692,173.81221921318956
meta,718.4619516672558,887.0817717677205,747.5730645070676,713.0387826810875,752.8741767029003,912.7396336624909,561.3336596996519,328.36734607967094,637.4014475574724,733.4446249081537,722.9545201597122,912.6553888474191,1123.9904072207107,1397.785070438499,1318.4177492372758,1454.9772991727775,1438.5036763509204,1558.4060303146957,1254.1253212131571,1007.328062796443,971.0556111866229,1083.9774646173662,997.4137832039689,948.8311298343667,1032.5650079568081,1056.8768402235069,807.4262441219644,648.9339942677763,626.2896414415917,517.8687094411065,308.14680665300267,253.41654565823862,328.1336138388552,381.6134768562932,167.3802401079219,328.1864307228688
narino,140.41955360422756,180.50355332885908,248.36620891544646,338.3485307028116,378.47194557355857,522.1539795058088,565.9102786698938,529.2553890877286,546.4466644826095,498.98495167055546,486.041626540536,312.94041917003767,326.9029307816104,401.10192262913495,351.6759886477603,417.28861963521155,400.9912323740885,445.68793973609104,305.073311668133,216.3386947982753,172.13000069791087,72.07461535411915,0.0,0.0,0.0,0.0,0.0,84.67709675370729,201.51369854957835,239.59564222595174,227.12868882592824,109.91296802094301,194.7012479421585,63.69895321490009,57.451014527598375,0.0
norte de santander,875.3067062487485,918.9129661907368,896.7737495513152,966.5674502136958,996.2949051595008,980.7462090308251,976.0557332804253,1081.29128554721,1203.3878104091411,1248.5740933166571,1188.430887108524,1128.1091773503472,1287.6319148303191,1503.8234160520528,1443.2323030279294,1503.3186412353448,1427.048011792615,1391.661157454889,1256.5626591322016,1164.4408864006443,1110.675506596672,1110.302632210716,1019.1666733108511,883.012630113994,723.5609516292789,368.4601994445602,202.48745996221356,174.37663420453225,144.49229340719876,202.38945808149845,249.11002016317792,303.44305029116987,456.33055715861076,495.18429668147,497.8247957403347,484.2061271123966
putumayo,160.4793006015792,208.268020434955,193.6915824245716,179.96477327308656,228.44907197727505,348.17479789180567,218.23002757368684,152.8213828180684,156.03816441990125,202.39483677644202,196.8650616066463,209.18596935321918,272.0443746455494,386.61837007354734,433.1148731263788,332.58046371049693,294.28652185751884,239.71188588885656,117.74346029517153,13.438084416285093,19.705750298358595,34.063639101507746,87.58349308101158,72.66550221859075,154.76003804103203,168.5390134328168,168.12986906477343,135.2251812590357,110.37444944542378,145.43153958686483,97.1148709573526,78.90491669710319,127.74178481836351,106.9785869502484,152.3904468738416,132.43051976110425
quindio,274.6247809887161,259.13619021952474,0.0,322.2654260170105,676.7387898036574,1093.2980894702953,915.4464666884196,785.2911168154943,486.8581779874629,706.4944996562424,121.1381985098889,304.9708336895204,704.332928713867,893.1824544523687,856.1143243545715,1031.119081854631,552.9428475766314,751.331456503987,528.1159226715639,579.8415805358671,370.57579508141043,274.9991007168169,169.72720329264635,0.0,0.0,0.0,101.90559427135733,62.459845396410714,189.33110376689734,280.2470247717597,186.77272080919454,309.0521866582899,220.2278914511601,300.0915044903069,378.37180177744244,0.3555651893533138
risaralda,563.4523857500792,410.94040566244,0.0,495.49905174071415,1092.642568867073,1513.961233453565,1221.6744529979017,840.4998134450227,530.2094362263815,834.733608662538,213.4810446982977,558.4156555345057,985.2131296856812,975.1030793380949,1254.0599844189446,1377.409111861205,908.8351163796442,1225.3079925765726,968.5415663377712,932.993618546717,446.0120263933377,214.8815485590985,65.35346693352533,0.0,0.0,0.0,83.48125998872212,0.0,220.0573708211255,505.17401517097625,532.1755942122729,568.2116808240013,274.2483311373349,322.85275681505857,413.0150700252884,152.90027282379546
san andres y providencia,17.305841156869203,6.373304296505852,0.0,0.0,0.0,0.0,0.0,11.069693930824357,20.179613670609836,12.565214866787796,0.714117262320408,5.059249009134126,4.868058703036036,6.8438634311216955,0.0,2.399281184365724,0.12112970763634667,9.75060879845455,0.6048686940475401,3.3860311577886444,0.0,0.0,0.0,2.2219019486040477,3.8824878180613993,0.0,0.0,0.0,0.0,0.0,4.435943866479144,11.892566596095682,15.876855981664644,5.182422744405722,2.8228861301911357,0.0
santander,1569.219793557248,1594.7843125799134,1562.4145422979109,1589.9972946304088,2025.1317730490568,2511.60134451962,2328.0273098941598,2355.8293512347273,2283.798244899945,2513.982606037703,2077.018265679398,2073.382785985213,2357.7384020141913,3000.4185824330475,3120.5492043617924,3107.805546865743,3050.8614729131464,2972.9467901569255,2529.088456569024,2014.2318489855543,1963.4301649143727,1931.91429925269,1492.661265540988,714.14790781282,733.4011223178975,646.7828799207011,668.664377572951,738.4662527442395,1075.6606873418216,1147.1126468330021,993.9649986482714,886.3234071005634,964.6919229645921,1047.984983372652,1176.1926715632676,1124.2998946007792
sucre,431.4842584889201,548.170638224577,467.46617870924956,441.59612456217786,427.04936800374264,376.3878294856664,405.8185355972187,365.10744457433805,422.9793056167299,419.7672298692998,492.9927865829639,500.5576889030877,599.9614161211775,538.4629995302294,389.08425192133063,389.2355383659388,385.7841724356607,421.2129951483849,346.29380630289654,265.04566132163586,241.81729081485878,173.2366741133446,65.18905158387905,46.08349285918658,23.76122121194976,46.34250438787241,39.13064189070968,89.91274711835413,88.37877001748491,167.64524207544451,150.18474078737643,253.34623793980222,238.41595460815049,285.5429240775369,342.46045977046947,335.89888627935045
tolima,1784.8620973741918,1385.6488289127983,962.2282209466376,1044.8658558218278,1352.6465803575334,1588.9809435929656,1285.125789045359,914.9963247458603,816.7806235823138,1063.6585708923285,753.892552629314,954.2227781943604,1577.3512210586814,1987.2341170576974,1796.5730414111113,1877.3234605780526,1806.7039805785216,2256.23139396664,1714.9903474840344,1443.0186135360022,1177.401493993049,1025.4620057440811,1119.276986642913,819.6836219543557,1088.5954879501933,1202.7684455910373,1122.5835743260027,1004.22709118051,831.1652061229079,1056.7241199145026,930.6382649348822,733.0982767667126,769.3391342090003,786.3775695337022,1073.975021666453,912.9619937404786
valle del cauca,1375.5081461133689,718.1686685898783,443.47892113931175,1054.0585200753062,1381.6519342981728,2407.127844296854,1585.3129088133146,1412.1487182530468,2373.44358826968,1975.968915611959,1123.7185793818408,1239.5568927774857,1557.6839804231759,2228.671019905166,622.2823462085689,1472.1264402143624,1321.1699387403992,2269.019578186221,1691.0354395810577,1208.4102950017914,1519.8682040063102,1815.6997556801193,2174.6164758078853,1941.289932406295,2026.7377364285303,2210.108374233424,1352.8445510049783,1525.4121735368954,1281.3573587269238,1964.8127963530223,1553.726496966562,1497.1193075227543,1456.5211244209463,1353.181206300736,1608.189130154256,1087.2265438876657
vaupes,6.214016819971496,7.084218634270687,5.545076991917526,3.228916937054405,6.601100729241914,13.240876833634012,8.416778268727375,2.6212077990802536,0.0,0.0,0.0,2.669359543981049,2.2860118409204575,6.839813855999838,13.658294503405141,17.436281819566037,11.038078126686328,5.712246754919569,6.387053331823095,6.140133544000799,7.468348818058253,2.233187253717854,2.7841090647267537,0.2670632314932768,0.7291292470296985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.944177662542929
vichada,8.671515203426484,11.181730289085404,36.136238303815524,42.16315335194122,37.422583036471366,19.1309422402982,0.06612986754540628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.934273306777914,17.39321072295901,24.89024501315828,34.40777244910598,41.241364861957486,38.605843391503996
