Variable:,pr
Country:,Colombia
Subnational-unit:,Amazonas
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,213.16,210.10,334.75,339.88,315.20,222.19,250.92,192.53,198.47,181.69,232.79,262.72
1963,205.57,188.71,310.96,365.77,329.52,291.90,249.28,198.36,227.83,310.45,231.34,194.24
1964,219.26,181.19,324.36,297.05,364.25,314.34,278.10,201.87,225.40,236.19,237.62,264.02
1965,255.25,208.66,280.88,330.25,301.85,247.74,310.07,234.93,192.54,230.99,176.16,244.43
1966,296.21,216.40,274.78,304.88,316.68,262.39,276.54,183.07,191.24,227.36,191.71,173.83
1967,238.37,184.99,278.78,341.64,254.69,261.11,271.42,254.21,216.88,222.13,225.85,196.87
1968,227.48,248.59,270.13,350.42,292.56,227.25,242.14,244.15,232.30,253.11,225.17,195.69
1969,209.86,242.70,313.10,367.70,339.76,285.74,260.86,215.19,227.44,209.42,227.58,229.22
1970,267.76,278.57,413.70,269.32,316.83,315.30,262.59,184.77,235.93,236.39,220.75,206.14
1971,252.89,187.92,290.01,287.09,345.61,318.84,271.61,224.93,182.46,307.83,249.59,240.40
1972,239.48,223.05,323.35,316.39,319.94,319.14,277.43,247.62,209.00,278.27,236.10,201.41
1973,208.72,215.76,253.19,266.70,249.23,304.94,259.67,258.90,233.98,252.63,172.53,253.51
1974,264.82,209.58,330.45,308.07,385.44,364.39,250.94,306.86,215.93,269.28,232.63,209.78
1975,342.33,192.64,363.70,336.88,497.88,282.90,214.73,288.00,164.97,247.47,217.97,261.73
1976,168.63,276.70,347.84,342.68,294.21,283.53,261.75,228.39,231.17,287.67,234.59,241.27
1977,185.44,175.24,261.26,331.31,321.96,214.22,292.23,216.69,268.86,233.86,253.77,265.27
1978,170.80,193.70,257.78,342.68,293.20,228.82,225.65,198.50,175.93,267.46,185.56,242.08
1979,255.36,173.81,337.68,354.28,282.87,244.05,231.04,190.88,178.73,269.43,232.07,194.93
1980,188.27,305.57,247.36,428.27,341.79,366.82,174.55,292.69,236.26,222.02,217.11,282.30
1981,243.85,232.82,292.68,395.77,262.35,227.93,347.69,198.36,191.97,242.59,246.95,225.26
1982,232.76,261.87,277.48,351.67,254.34,239.57,180.67,199.48,199.87,307.11,177.75,237.41
