month,year,admin_ascii,total_cases,confirmed_cases
1,2013,risaralda,32,20
1,2013,san andres,2,2
1,2013,santander,1137,418
1,2013,sucre,259,118
1,2013,tolima,920,266
1,2013,valle,1573,786
1,2013,vaupes,5,0
1,2013,vichada,20,12
1,2014,amazonas,28,10
1,2014,antioquia,628,391
1,2014,arauca,79,50
1,2014,atlantico,1174,789
1,2014,bogota,37,27
1,2014,bolivar,542,496
1,2014,boyaca,47,40
1,2014,caldas,98,92
1,2014,caqueta,30,15
1,2014,casanare,121,46
1,2014,cauca,49,27
1,2014,cesar,344,173
1,2014,choco,21,16
1,2014,cordoba,636,517
1,2014,cundinamarca,424,257
1,2014,exterior,20,16
1,2014,guainia,16,13
1,2014,guajira,344,268
1,2014,guaviare,53,50
1,2014,huila,903,535
1,2014,magdalena,263,190
1,2014,meta,531,200
1,2014,nari�o,68,42
1,2014,norte santander,862,479
1,2014,procedencia desconocida,,
1,2014,putumayo,199,100
1,2014,quindio,287,130
1,2014,risaralda,53,40
1,2014,san andres,4,1
1,2014,santander,1231,387
1,2014,sucre,504,327
1,2014,tolima,1044,341
1,2014,valle,1154,618
1,2014,vaupes,,
1,2014,vichada,21,13
1,2015,amazonas,53,30
1,2015,antioquia,791,341
1,2015,arauca,51,16
1,2015,atlantico,351,252
1,2015,bogota,,
1,2015,bolivar,184,94
1,2015,boyaca,43,34
1,2015,caldas,92,75
1,2015,caqueta,84,39
1,2015,casanare,233,21
1,2015,cauca,80,33
1,2015,cesar,290,106
1,2015,choco,27,15
1,2015,cordoba,161,107
1,2015,cundinamarca,609,281
1,2015,exterior,9,5
1,2015,guainia,1,0
1,2015,guajira,95,73
1,2015,guaviare,23,6
1,2015,huila,605,171
1,2015,magdalena,58,35
1,2015,meta,797,161
1,2015,nari�o,44,29
1,2015,norte santander,305,128
1,2015,procedencia desconocida,12,4
1,2015,putumayo,138,5
1,2015,quindio,352,104
1,2015,risaralda,54,38
1,2015,san andres,8,5
1,2015,santander,912,238
1,2015,sucre,184,79
1,2015,tolima,1581,348
1,2015,valle,2150,812
1,2015,vaupes,,
1,2015,vichada,5,2
1,2016,amazonas,21,3
1,2016,antioquia,2141,1362
1,2016,arauca,130,45
1,2016,atlantico,477,323
1,2016,bogota,,
1,2016,bolivar,275,89
1,2016,boyaca,210,148
1,2016,caldas,140,99
1,2016,caqueta,298,135
1,2016,casanare,174,20
1,2016,cauca,161,111
1,2016,cesar,376,156
1,2016,choco,40,25
1,2016,cordoba,278,181
1,2016,cundinamarca,870,628
1,2016,exterior,9,6
1,2016,guainia,57,36
1,2016,guajira,77,68
1,2016,guaviare,38,26
1,2016,huila,941,508
1,2016,magdalena,195,98
1,2016,meta,378,107
1,2016,nari�o,101,90
1,2016,norte santander,555,281
1,2016,procedencia desconocida,7,5
1,2016,putumayo,288,23
1,2016,quindio,287,121
1,2016,risaralda,327,223
1,2016,san andres,18,7
1,2016,santander,905,342
1,2016,sucre,155,77
1,2016,tolima,1298,571
1,2016,valle,4025,1763
1,2016,vaupes,3,1
1,2016,vichada,11,5
1,2017,amazonas,10,4
1,2017,antioquia,769,261
1,2017,arauca,37,3
1,2017,atlantico,36,26
1,2017,bogota,,
1,2017,bolivar,76,42
1,2017,boyaca,71,35
1,2017,caldas,11,8
1,2017,caqueta,11,2
1,2017,casanare,45,2
1,2017,cauca,19,8
1,2017,cesar,62,2
1,2017,choco,9,9
1,2017,cordoba,76,48
1,2017,cundinamarca,154,64
1,2017,exterior,12,5
1,2017,guainia,1,1
1,2017,guajira,7,4
1,2017,guaviare,13,10
1,2017,huila,248,70
1,2017,magdalena,47,15
1,2017,meta,155,18
1,2017,nari�o,17,9
1,2017,norte santander,142,44
1,2017,procedencia desconocida,,
1,2017,putumayo,58,3
1,2017,quindio,119,11
1,2017,risaralda,37,13
1,2017,san andres,3,3
1,2017,santander,269,76
1,2017,sucre,61,5
1,2017,tolima,553,68
1,2017,valle,1267,291
1,2017,vaupes,1,0
1,2017,vichada,7,4
2,2007,amazonas,2,2
2,2007,antioquia,22,10
2,2007,arauca,63,33
2,2007,atlantico,139,120
2,2007,bogota,,
2,2007,bolivar,23,13
2,2007,boyaca,20,12
2,2007,caldas,89,57
2,2007,caqueta,53,31
2,2007,casanare,61,22
2,2007,cauca,60,16
2,2007,cesar,126,62
2,2007,choco,3,0
2,2007,cordoba,19,5
2,2007,cundinamarca,18,15
2,2007,exterior,5,3
2,2007,guainia,,
2,2007,guajira,37,15
2,2007,guaviare,49,43
2,2007,huila,329,79
2,2007,magdalena,35,29
2,2007,meta,154,69
2,2007,nari�o,2,1
2,2007,norte santander,422,160
2,2007,procedencia desconocida,20,16
2,2007,putumayo,27,11
2,2007,quindio,232,61
2,2007,risaralda,73,44
2,2007,san andres,2,2
2,2007,santander,458,185
2,2007,sucre,57,23
2,2007,tolima,145,48
2,2007,valle,28,13
2,2007,vaupes,,
2,2007,vichada,4,3
2,2008,amazonas,1,0
2,2008,antioquia,232,77
2,2008,arauca,67,10
2,2008,atlantico,436,379
2,2008,bogota,,
