Variable:,pr
Country:,Colombia
Subnational-unit:,Antioquia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,98.34,168.62,184.97,307.75,277.11,208.34,236.61,255.93,213.16,304.42,287.15,112.79
1963,52.83,67.28,48.13,304.39,255.76,346.67,417.84,259.38,230.82,302.37,278.09,130.96
1964,92.21,71.57,67.95,220.33,269.57,130.02,110.78,261.39,235.92,279.25,319.38,125.76
1965,77.07,78.34,105.38,191.57,245.62,305.39,166.94,311.24,242.00,328.50,384.07,257.54
1966,96.81,92.52,125.31,218.09,558.60,325.69,175.30,144.52,265.56,232.53,232.78,130.01
1967,91.42,113.60,156.36,239.63,302.40,334.53,182.34,229.18,272.97,301.97,342.73,114.22
1968,134.42,64.82,51.04,277.35,232.25,230.95,126.40,287.44,311.90,393.74,247.00,162.01
1969,150.07,103.16,94.02,314.42,333.92,276.50,235.63,263.40,320.97,398.52,370.76,203.01
1970,276.71,200.30,257.06,210.95,401.46,239.06,226.93,341.05,290.52,285.19,243.67,120.37
1971,184.40,76.46,138.39,310.64,294.60,261.33,133.89,224.43,214.77,234.65,249.30,136.91
1972,45.91,70.56,68.46,128.31,232.42,264.20,261.93,329.08,385.24,536.40,379.89,290.42
1973,164.03,184.11,214.69,347.10,297.07,210.37,220.37,310.29,337.32,331.45,347.12,79.94
1974,51.34,132.63,140.87,261.64,363.71,221.87,415.68,303.40,223.70,633.79,292.97,288.17
1975,82.16,129.99,149.06,235.45,249.05,252.60,201.48,153.49,192.59,333.09,211.41,116.91
1976,51.96,44.70,110.17,256.99,215.78,271.47,209.28,252.41,298.84,266.73,244.67,139.63
1977,67.90,63.09,175.40,283.27,317.52,296.68,222.82,222.13,265.48,269.55,240.01,164.94
1978,77.61,72.74,116.91,260.44,306.65,299.62,206.21,306.80,250.91,360.93,354.33,163.49
1979,144.68,88.80,75.07,245.77,198.02,242.44,210.02,210.81,247.84,272.28,254.06,217.76
1980,80.78,143.07,159.42,315.28,503.05,284.46,228.31,358.20,277.02,570.65,243.89,216.55
1981,195.63,132.44,153.01,294.00,330.03,161.56,163.80,155.72,250.68,362.09,184.90,144.58
1982,54.61,98.66,145.02,303.91,326.88,177.27,207.56,183.61,204.02,295.90,214.21,224.44
1983,225.39,148.53,117.63,232.64,302.23,342.90,241.64,375.25,379.45,362.38,307.94,114.00
1984,128.62,39.73,131.27,154.83,282.37,230.82,232.12,353.73,388.53,332.88,284.41,202.23
1985,109.30,173.77,115.04,276.43,508.83,255.84,114.05,215.19,244.77,458.37,264.23,87.08
1986,65.38,45.68,108.80,243.49,356.82,152.32,317.92,223.87,335.09,414.06,297.51,134.30
1987,82.87,126.54,85.09,218.15,221.00,274.90,268.43,500.95,402.24,369.36,450.63,248.31
1988,119.76,123.90,241.61,167.20,272.25,266.55,168.58,287.54,351.85,307.70,216.74,215.80
1989,96.28,113.18,162.65,223.19,270.69,172.46,272.95,224.37,248.61,406.53,294.18,225.08
1990,89.28,54.14,235.70,153.27,263.83,201.01,197.80,208.06,253.38,206.80,275.94,163.50
1991,80.37,60.11,67.53,141.40,214.59,178.00,163.60,240.16,317.23,160.12,259.99,174.38
1992,138.21,96.21,135.10,199.21,203.14,93.09,170.38,221.90,357.63,224.86,382.52,183.05
1993,141.83,115.42,165.43,203.15,235.74,205.25,190.91,186.55,207.55,326.12,349.05,131.60
1994,52.87,64.24,148.52,219.10,328.24,280.67,324.39,348.24,236.62,299.70,276.36,248.56
1995,180.91,137.50,216.01,171.62,366.04,309.95,300.83,331.55,238.32,347.99,237.70,161.51
1996,253.82,115.64,109.86,189.25,190.38,332.71,95.28,103.75,227.96,190.54,256.90,82.68
1997,39.30,99.25,110.44,207.30,361.03,226.52,313.00,303.41,327.00,340.37,308.72,302.80
1998,172.79,210.34,167.91,221.80,242.54,350.04,176.45,303.14,459.33,379.62,361.60,274.45
1999,150.83,193.06,188.70,167.76,377.46,314.68,333.76,265.47,390.46,256.31,258.46,180.97
2000,112.58,67.18,155.99,124.53,272.48,219.70,179.18,244.42,293.50,248.10,356.46,227.50
2001,76.35,49.52,180.04,285.65,327.02,249.47,218.77,222.77,300.90,238.03,216.71,169.01
2002,58.54,76.03,159.26,224.56,209.29,362.57,195.54,258.70,252.40,285.98,379.61,248.15
2003,85.96,111.03,99.20,282.47,338.88,185.24,206.22,257.61,308.36,357.21,335.34,170.83
2004,139.71,123.56,153.42,193.26,391.84,256.35,172.59,284.13,270.60,343.50,331.18,186.46
2005,202.92,115.26,233.34,214.52,360.48,346.21,181.99,252.13,248.00,323.90,298.65,246.57
2006,82.91,59.45,176.25,272.34,350.21,276.36,216.19,412.90,296.76,351.62,325.49,207.66
2007,101.06,128.93,167.71,203.73,417.38,307.90,368.47,385.67,247.17,326.14,370.38,260.47
2008,154.26,134.72,223.90,173.84,234.21,249.68,167.27,299.68,238.05,332.18,244.32,157.02
2009,37.10,72.73,137.62,273.93,385.52,312.95,265.67,277.72,380.19,313.50,491.65,366.41
2010,120.63,173.30,213.31,319.95,375.51,390.82,283.12,260.06,337.42,435.27,426.53,391.24
2011,172.72,77.17,165.58,313.19,258.34,183.88,165.18,250.07,210.23,349.87,268.46,174.20
2012,61.10,186.76,138.72,150.52,358.88,188.34,117.95,363.95,242.65,262.29,332.31,210.48
2013,112.88,123.23,152.44,184.40,252.23,189.00,104.14,214.70,251.97,293.98,321.71,204.10
2014,112.40,106.14,181.54,174.89,164.42,158.78,174.65,208.46,193.32,209.07,224.00,62.47
2015,60.34,50.25,111.31,218.59,223.72,156.42,202.20,270.91,263.53,276.47,323.70,263.86
2016,136.53,129.38,194.03,198.58,396.10,306.57,152.96,372.74,282.54,319.36,287.16,190.67
2017,166.67,89.25,133.92,251.69,392.25,260.12,190.87,227.94,305.26,340.76,322.34,85.93
2018,86.30,95.46,181.34,211.68,392.52,216.75,193.21,173.51,290.55,293.48,285.10,167.14
2019,87.73,95.53,113.55,135.48,217.35,252.90,345.61,297.80,311.83,221.51,349.35,220.91
2020,,,,,,,,,,,,
