month,city_ascii,year,total_cases,confirmed_cases,city_ascii,lat,lng,admin_ascii,population,population_proper
9,abrego,2014,5,4,abrego,8.0806,-73.2205,norte de santander,,
8,abrego,2014,19,12,abrego,8.0806,-73.2205,norte de santander,,
4,abrego,2014,4,4,abrego,8.0806,-73.2205,norte de santander,,
7,abrego,2014,22,12,abrego,8.0806,-73.2205,norte de santander,,
12,abrego,2014,6,5,abrego,8.0806,-73.2205,norte de santander,,
2,abrego,2014,1,1,abrego,8.0806,-73.2205,norte de santander,,
11,abrego,2014,14,7,abrego,8.0806,-73.2205,norte de santander,,
1,abrego,2014,3,3,abrego,8.0806,-73.2205,norte de santander,,
3,abrego,2014,2,1,abrego,8.0806,-73.2205,norte de santander,,
10,abrego,2014,9,7,abrego,8.0806,-73.2205,norte de santander,,
6,abrego,2014,9,7,abrego,8.0806,-73.2205,norte de santander,,
,abrego,2014,1,0,abrego,8.0806,-73.2205,norte de santander,,
5,abrego,2014,4,2,abrego,8.0806,-73.2205,norte de santander,,
11,abrego,2015,31,19,abrego,8.0806,-73.2205,norte de santander,,
9,abrego,2015,11,11,abrego,8.0806,-73.2205,norte de santander,,
8,abrego,2015,12,8,abrego,8.0806,-73.2205,norte de santander,,
10,abrego,2015,7,5,abrego,8.0806,-73.2205,norte de santander,,
12,abrego,2015,15,7,abrego,8.0806,-73.2205,norte de santander,,
2,abrego,2015,1,1,abrego,8.0806,-73.2205,norte de santander,,
7,abrego,2015,1,0,abrego,8.0806,-73.2205,norte de santander,,
1,abrego,2015,3,0,abrego,8.0806,-73.2205,norte de santander,,
5,abrego,2015,1,1,abrego,8.0806,-73.2205,norte de santander,,
12,abrego,2016,14,3,abrego,8.0806,-73.2205,norte de santander,,
5,abrego,2016,24,10,abrego,8.0806,-73.2205,norte de santander,,
7,abrego,2016,15,9,abrego,8.0806,-73.2205,norte de santander,,
2,abrego,2016,43,15,abrego,8.0806,-73.2205,norte de santander,,
1,abrego,2016,31,19,abrego,8.0806,-73.2205,norte de santander,,
9,abrego,2016,9,6,abrego,8.0806,-73.2205,norte de santander,,
3,abrego,2016,15,8,abrego,8.0806,-73.2205,norte de santander,,
10,abrego,2016,11,4,abrego,8.0806,-73.2205,norte de santander,,
6,abrego,2016,10,4,abrego,8.0806,-73.2205,norte de santander,,
11,abrego,2016,10,3,abrego,8.0806,-73.2205,norte de santander,,
4,abrego,2016,24,9,abrego,8.0806,-73.2205,norte de santander,,
8,abrego,2016,8,2,abrego,8.0806,-73.2205,norte de santander,,
10,abrego,2017,10,0,abrego,8.0806,-73.2205,norte de santander,,
1,abrego,2017,12,6,abrego,8.0806,-73.2205,norte de santander,,
