,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,NOMBRE_DPT
106,2007,101.06,128.93,167.71,203.73,417.38,307.9,368.47,385.67,247.17,326.14,370.38,260.47,ANTIOQUIA
107,2008,154.26,134.72,223.9,173.84,234.21,249.68,167.27,299.68,238.05,332.18,244.32,157.02,ANTIOQUIA
108,2009,37.1,72.73,137.62,273.93,385.52,312.95,265.67,277.72,380.19,313.5,491.65,366.41,ANTIOQUIA
109,2010,120.63,173.3,213.31,319.95,375.51,390.82,283.12,260.06,337.42,435.27,426.53,391.24,ANTIOQUIA
110,2011,172.72,77.17,165.58,313.19,258.34,183.88,165.18,250.07,210.23,349.87,268.46,174.2,ANTIOQUIA
111,2012,61.1,186.76,138.72,150.52,358.88,188.34,117.95,363.95,242.65,262.29,332.31,210.48,ANTIOQUIA
112,2013,112.88,123.23,152.44,184.4,252.23,189.0,104.14,214.7,251.97,293.98,321.71,204.1,ANTIOQUIA
113,2014,112.4,106.14,181.54,174.89,164.42,158.78,174.65,208.46,193.32,209.07,224.0,62.47,ANTIOQUIA
114,2015,60.34,50.25,111.31,218.59,223.72,156.42,202.2,270.91,263.53,276.47,323.7,263.86,ANTIOQUIA
115,2016,136.53,129.38,194.03,198.58,396.1,306.57,152.96,372.74,282.54,319.36,287.16,190.67,ANTIOQUIA
116,2017,166.67,89.25,133.92,251.69,392.25,260.12,190.87,227.94,305.26,340.76,322.34,85.93,ANTIOQUIA
117,2018,86.3,95.46,181.34,211.68,392.52,216.75,193.21,173.51,290.55,293.48,285.1,167.14,ANTIOQUIA
118,2019,87.73,95.53,113.55,135.48,217.35,252.9,345.61,297.8,311.83,221.51,349.35,220.91,ANTIOQUIA
119,2020,,,,,,,,,,,,,ANTIOQUIA
